signalname,Journal,Authors,Year,theory,LongDescription,misp_count,risk_count,misprice_risk_ratio,risk_mispricing_ratio,quote,liquidity,LiquidityNotes,Notes,post_2004,author_merge,Keep,word_count
AM,JF,Fama and French,1992,agnostic,Total assets to market,18,40,0.463414634146342,2.1578947368421,"Our main result is that two easily measured variables, size and book-to-market equity, seem to describe the cross-section of average stock returns.
Prescriptions for using this evidence depend on (a) whether it will persist, and (b) whether it results from rational or irrational asset-pricing.",0,"","",FALSE,Fama French,TRUE,6617
AOP,JAE,Frankel and Lee,1998,agnostic,Analyst Optimism,36,15,2.3125,0.432432432432432,"we acknowledge that high V_f/P firms may still be riskier
than low V_f /P firms in some other, as yet unidentified, dimension. We leave this
question to future research.",0,"","",FALSE,Frankel Lee,TRUE,7365
AbnormalAccruals,AR,Xie,2001,mispricing,Abnormal Accruals,198,26,7.37037037037037,0.135678391959799,"I find that the market overestimates the persistence, or one-year-ahead earnings implications, of abnormal accruals, and consequently overprices these accruals",0,"","",FALSE,Xie,TRUE,4459
Accruals,AR,Sloan,1996,mispricing,Accruals,41,24,1.68,0.595238095238095,"stock prices are found to act as if investors """"""""""""""""""""""""""""""""fixate' on earnings, failing to reflect fully information contained in the accrual and cash flow components of current earnings until that information impacts future earnings",0,"","",FALSE,Sloan,TRUE,6619
AccrualsBM,RFQA,Bartov and Kim,2004,mispricing,Book-to-market and accruals,70,21,3.22727272727273,0.309859154929577,"In addition, this superior stock return performance is more pronounced among firms held primarily by small (unsophisticated) investors and followed less closely by market participants (stock price <$10).",0,"","",TRUE,Bartov Kim,TRUE,5956
AdExp,JF,"Chan, Lakonishok and Sougiannis",2001,mispricing,Advertising Expense,27,8,3.11111111111111,0.321428571428572,"However, the market is apparently too pessimistic about beaten-down R&D-intensive technology stocks' prospects. Companies with high R&D to equity market value (which tend to have poor past returns) earn large excess returns.",0,"","",FALSE,Chan Lakonishok Sougiannis,TRUE,5638
AgeIPO,JF,Ritter,1991,mispricing,IPO and age,50,8,5.66666666666667,0.176470588235294,"The patterns are consistent with an
IPO market in which (1) investors are periodically overoptimistic about the earnings potential of young growth companies, and (2) firms take advantage of these
""""""""""""""""""""""""""""""""windows of opportunity.""""""""""""""""""""""""""""""""",0,"","",FALSE,Ritter,TRUE,5623
AnalystRevision,FAJ,"Hawkins, Chamberlin, Daniel",1984,mispricing,EPS forecast revision,1,5,0.333333333333333,3,"the evidence
strongly suggests that revisions in consensus
earnings estimates can be used to predict subsequent stock price performance, and that the
market is not efficient in processing such information",0,"","",FALSE,Hawkins Chamberlin Daniel,TRUE,2859
AnalystValue,JAE,Frankel and Lee,1998,agnostic,Analyst Value,36,15,2.3125,0.432432432432432,"we acknowledge that high V_f/P firms may still be riskier than low V_f /P firms in some other, as yet unidentified, dimension. We leave this question to future research.",0,"","",FALSE,Frankel Lee,TRUE,7365
AnnouncementReturn,JF,"Chan, Jegadeesh and Lakonishok",1996,mispricing,Earnings announcement return,97,15,6.125,0.163265306122449,"The results suggest a market that responds only gradually to new
information.",0,"","",FALSE,Chan Jegadeesh Lakonishok,TRUE,7945
AssetGrowth,JF,"Cooper, Gulen and Schill",2008,mispricing,Asset growth,45,23,1.91666666666667,0.521739130434782,"Overall, our findings are most consistent with the interpretation that investors over extrapolate past gains to growth.",0,"","",TRUE,Cooper Gulen Schill,TRUE,9254
BM,Other,Stattman,1980,agnostic,"Book to market, original (Stattman 1980)",22,19,1.15,0.869565217391305,The evidence is consistent with a positive relationship between BP and subsequent RAR which is large and consistent enough to be useful information to investors seeking to earn stock returns which are abnormally high given the associated level of risk… …The persistence of the returns over years indicates that the market is either unaware of the information in BP or uninterested in adjusting to it... It seems more consistent to view ... ..the results as indicating that BP and PE proxy for an omitted variable... ...The true nature of the underlying omitted factor is still open to inquiry.,0,"","",FALSE,Stattman,TRUE,3062
BMdec,JF,Fama and French,1992,agnostic,Book to market using December ME,18,40,0.463414634146342,2.1578947368421,"Our main result is that two easily measured variables, size and book-to-market equity, seem to describe the cross-section of average stock returns.
Prescriptions for using this evidence depend on (a) whether it will persist, and (b) whether it results from rational or irrational asset-pricing.",0,"","",FALSE,Fama French,TRUE,6617
BPEBM,JAR,"Penman, Richardson and Tuna",2007,agnostic,Leverage component of BM,26,102,0.262135922330097,3.81481481481482,"This observation accords with the
view that the enterprise book-to-price ratio is a firm characteristic that loads
on a risk factor, but is also consistent with the mispricing of book values.
In the absence of a well-specified asset pricing model, the issue cannot be
sorted out.",0,"","",TRUE,Penman Richardson Tuna,TRUE,8502
Beta,JPE,Fama and MacBeth,1973,risk,CAPM beta,7,55,0.142857142857143,6.99999999999999,"the pricing of common stocks reflects the attempts of risk-averse investors to hold portfolios that are """"""""""""""""""""""""""""""""efficient"""""""""""""""""""""""""""""""" in terms of expected value and dispersion of return.",0,"","",FALSE,Fama MacBeth,TRUE,5242
BetaLiquidityPS,JPE,Pastor and Stambaugh,2003,risk,Pastor-Stambaugh liquidity beta,438,108,4.02752293577982,0.248291571753986,a liquidity risk measure accounts for half of the profits to a momentum strategy over the same 34-year period,1,Exposure to liquidity risk,"",FALSE,Pastor Stambaugh,TRUE,9295
BetaTailRisk,RFS,Kelly and Jiang,2014,risk,Tail risk beta,23,310,0.0771704180064309,12.9583333333333,"Because investors are tail risk averse, increases in tail risk raise the return
required by investors to hold the market, thereby inducing a positive predictive relationship
between tail risk and future returns.",0,"","",TRUE,Kelly Jiang,TRUE,7752
