"table","category","group","analysis","metric","old_value","new_value","difference","old_display","new_display"
"Table 6","Theoretical Foundation","Risk","raw","pub_oos",43.1896864386055,43.1896864386054,-5.6843418860808e-14,"43","43"
"Table 6","Theoretical Foundation","Risk","raw","pub_oos_se",7.94587822654156,10.969159272181,3.02328104563949,"8","11"
"Table 6","Theoretical Foundation","Risk","raw","outperform",5.32302582803874,5.32302582803873,-1.06581410364015e-14,"5","5"
"Table 6","Theoretical Foundation","Risk","raw","outperform_se",8.18804900025889,10.6476929827117,2.45964398245282,"8","11"
"Table 6","Theoretical Foundation","Mispricing","raw","pub_oos",55.2170014716959,55.2170014716959,-7.105427357601e-15,"55","55"
"Table 6","Theoretical Foundation","Mispricing","raw","pub_oos_se",3.72177311520133,8.31401313659513,4.5922400213938,"4","8"
"Table 6","Theoretical Foundation","Mispricing","raw","outperform",4.13736896674621,4.13736896674622,6.21724893790088e-15,"4","4"
"Table 6","Theoretical Foundation","Mispricing","raw","outperform_se",3.82834296753622,7.29245996450644,3.46411699697022,"4","7"
"Table 6","Theoretical Foundation","Agnostic","raw","pub_oos",65.0598729764807,65.0598729764808,2.8421709430404e-14,"65","65"
"Table 6","Theoretical Foundation","Agnostic","raw","pub_oos_se",7.8144748881381,12.2839959246485,4.46952103651037,"8","12"
"Table 6","Theoretical Foundation","Agnostic","raw","outperform",8.58472309423084,8.58472309423084,3.5527136788005e-15,"9","9"
"Table 6","Theoretical Foundation","Agnostic","raw","outperform_se",8.01777617504897,14.3899605234448,6.37218434839579,"8","14"
"Table 6","Modeling Formalism","No Model","raw","pub_oos",55.646022054615,55.646022054615,-1.4210854715202e-14,"56","56"
"Table 6","Modeling Formalism","No Model","raw","pub_oos_se",3.32171469664335,7.79335564332105,4.4716409466777,"3","8"
"Table 6","Modeling Formalism","No Model","raw","outperform",4.8015428770143,4.80154287701429,-4.44089209850063e-15,"5","5"
"Table 6","Modeling Formalism","No Model","raw","outperform_se",3.4128412183498,7.21651428382237,3.80367306547257,"3","7"
"Table 6","Modeling Formalism","Stylized","raw","pub_oos",63.4466136147912,63.4466136147912,1.4210854715202e-14,"63","63"
"Table 6","Modeling Formalism","Stylized","raw","pub_oos_se",12.1805666406509,16.1204173639728,3.93985072332194,"12","16"
"Table 6","Modeling Formalism","Stylized","raw","outperform",14.9511505796983,14.9511505796983,3.5527136788005e-15,"15","15"
"Table 6","Modeling Formalism","Stylized","raw","outperform_se",12.5849688832963,13.6023840604393,1.01741517714295,"13","14"
"Table 6","Modeling Formalism","Dynamic or Quantitative","raw","pub_oos",33.8051522526199,33.8051522526199,7.105427357601e-15,"34","34"
"Table 6","Modeling Formalism","Dynamic or Quantitative","raw","pub_oos_se",13.6706509178281,9.07653791800432,-4.59411299982377,"14","9"
"Table 6","Modeling Formalism","Dynamic or Quantitative","raw","outperform",-1.71299952455841,-1.71299952455841,2.22044604925031e-16,"-2","-2"
"Table 6","Modeling Formalism","Dynamic or Quantitative","raw","outperform_se",14.3542759263529,8.77956112108477,-5.57471480526813,"14","9"
"Table 6","Overall","Overall","raw","pub_oos",55.5224837695336,55.5224837695336,0,"56","56"
"Table 6","Overall","Overall","raw","pub_oos_se",3.13688113184946,7.01962217941902,3.88274104756956,"3","7"
"Table 6","Overall","Overall","raw","outperform",5.27753360880027,5.27753360880027,0,"5","5"
"Table 6","Overall","Overall","raw","outperform_se",3.22527937252623,6.68522706723311,3.45994769470688,"3","7"
"Table 7","Discipline","Finance","raw","pub_oos",58.5524486605503,59.4497360146916,0.897287354141369,"59","59"
"Table 7","Discipline","Finance","raw","pub_oos_se",3.567966466364,7.56985251629187,4.00188604992787,"4","8"
"Table 7","Discipline","Finance","raw","outperform",7.64629171487003,8.33578225103723,0.689490536167195,"8","8"
"Table 7","Discipline","Finance","raw","outperform_se",3.66831238819412,7.1621034882947,3.49379110010059,"4","7"
"Table 7","Discipline","Accounting","raw","pub_oos",42.5224938185489,43.1829232960998,0.660429477550885,"43","43"
"Table 7","Discipline","Accounting","raw","pub_oos_se",6.41176926373868,9.34095174981589,2.92918248607721,"6","9"
"Table 7","Discipline","Accounting","raw","outperform",-5.5657482425587,-4.8564441026391,0.709304139919596,"-6","-5"
"Table 7","Discipline","Accounting","raw","outperform_se",6.5979741690393,9.71537764642109,3.11740347738179,"7","10"
"Table 7","Journal Rank","JF, JFE, RFS","raw","pub_oos",60.3385347457825,60.3385347457825,-2.1316282072803e-14,"60","60"
"Table 7","Journal Rank","JF, JFE, RFS","raw","pub_oos_se",4.25705445197633,8.28376927349155,4.02671482151522,"4","8"
"Table 7","Journal Rank","JF, JFE, RFS","raw","outperform",7.52459571931897,7.52459571931896,-3.5527136788005e-15,"8","8"
"Table 7","Journal Rank","JF, JFE, RFS","raw","outperform_se",4.37226578588702,8.03029469135522,3.6580289054682,"4","8"
"Table 7","Journal Rank","AR, JAR, JAE","raw","pub_oos",42.5224938185489,42.5224938185489,7.105427357601e-15,"43","43"
"Table 7","Journal Rank","AR, JAR, JAE","raw","pub_oos_se",6.41176926373868,9.16822088640263,2.75645162266394,"6","9"
"Table 7","Journal Rank","AR, JAR, JAE","raw","outperform",-5.5657482425587,-5.5657482425587,-6.21724893790088e-15,"-6","-6"
"Table 7","Journal Rank","AR, JAR, JAE","raw","outperform_se",6.5979741690393,9.64019575633023,3.04222158729092,"7","10"
"Table 7","Journal Rank","Other","raw","pub_oos",52.5977790954621,52.5977790954621,-7.105427357601e-15,"53","53"
"Table 7","Journal Rank","Other","raw","pub_oos_se",6.13844843665628,8.58122200369464,2.44277356703836,"6","9"
"Table 7","Journal Rank","Other","raw","outperform",8.05201652673252,8.05201652673251,-3.5527136788005e-15,"8","8"
"Table 7","Journal Rank","Other","raw","outperform_se",6.3453138531179,8.82937504569244,2.48406119257454,"6","9"
"Table IA.10","","No Model","raw","pub_oos",55.646022054615,55.646022054615,-1.4210854715202e-14,"56","56"
"Table IA.10","","No Model","raw","pub_oos_se",3.32171469664335,7.79335564332105,4.4716409466777,"3","8"
"Table IA.10","","No Model","raw","outperform",4.8015428770143,4.80154287701429,-4.44089209850063e-15,"5","5"
"Table IA.10","","No Model","raw","outperform_se",3.4128412183498,7.21651428382237,3.80367306547257,"3","7"
"Table IA.10","","Any Model","raw","pub_oos",48.6258829337056,54.3404809498079,5.71459801610235,"49","54"
"Table IA.10","","Any Model","raw","pub_oos_se",12.9470633775473,12.4660975462812,-0.480965831266065,"13","12"
"Table IA.10","","Any Model","raw","outperform",6.61907552756995,9.83176865232084,3.21269312475089,"7","10"
"Table IA.10","","Any Model","raw","outperform_se",13.4986421384414,11.2560537669345,-2.24258837150686,"13","11"
"Table 6","Theoretical Foundation","Risk","capm","pub_oos",37.7231230562795,37.7231230562795,2.8421709430404e-14,"38","38"
